Country,GDP,GDP.Per.Capita,GDP.Share,GDP.Rank,GDP.PPP,GDP.PPP.Share,GDP.PPP.Rank
Swaziland,3.94,3330.00,0.01,157,11.35,0.01,152
Sweden,507.05,51165.00,0.65,23,522.85,0.41,38
Switzerland,659.37,79242.00,0.85,20,514.16,0.41,40
Taiwan,566.76,22453.00,0.73,22,1177.05,0.93,22
Tajikistan,7.24,800.00,0.01,144,27.8,0.02,132
Tanzania,51.19,970.00,0.07,83,163.52,0.13,75
Thailand,432.9,5899.00,0.56,26,1226.41,0.97,20
Bahamas,9.17,24272.00,0.01,137,9.37,0.01,155
The Gambia,1.04,469.00,0,177,3.61,0,168
Timor-Leste,2.73,2102.00,0,162,4.57,0,164
Togo,4.55,590.00,0.01,154,12.49,0.01,150
Tonga,0.42,3856.00,0,184,0.6,0,185
Trinidad and Tobago,21.75,15342.00,0.03,109,44.65,0.04,109
Tunisia,40.29,3730.00,0.05,92,136.8,0.11,78
Turkey,793.7,10743.00,1.02,17,2082.08,1.64,13
Turkmenistan,42.36,6622.00,0.05,89,103.99,0.08,82
Uganda,27.17,638.00,0.03,103,91.21,0.07,86
Ukraine,95.93,2194.00,0.12,65,368.05,0.29,50
United Arab Emirates,407.21,37678.00,0.52,27,693.77,0.55,32
United Kingdom,2496.76,40096.00,3.2,5,2905.39,2.29,9
United States,19417.14,57436.00,24.9,1,19417.14,15.3,2
Uruguay,58.12,15679.00,0.07,78,77.8,0.06,94
Uzbekistan,68.32,2122.00,0.09,74,222.79,0.18,63
Vanuatu,0.83,2815.00,0,180,0.77,0,183
Venezuela,251.59,9258.00,0.32,42,404.11,0.32,47
Vietnam,215.83,2173.00,0.28,47,648.24,0.51,34
Yemen,27.19,938.00,0.03,102,74.25,0.06,96
Zambia,23.14,1275.00,0.03,106,68.65,0.05,99
Zimbabwe,15.29,977.00,0.02,117,29.8,0.02,129
